Major Type,Sub Type,Description,Plug-ins,Distributed,Dependency
Query,-,Query handler services,Redis,O,Store (Document)
,,,MongoDB,O,Store (Document)
,,,MySQL,O,Store (Document)
,,,PostgreSQL (Planning),O,Store (Document)
Coordinator,-,Coordination services,memdb,X,-
,,,etcd (Planning),O,-
,,,ZooKeeper (Planning),,
,,,FoundationDB (Planning),O,-
Coder,Document,Document coder services,CBOR,O,-
,Key,Key coder services,Tuple,O,-
Store,Document,Doument store services,Key-value based store,O,"Store (Key-value), Coder (Document), Coder (Key)"
,Key-value,Key-value store services,memdb,X,"Coder (Document), Coder (Key)"
,,,FoundationDB,O,"Coder (Document), Coder (Key)"
,,,Key-value Cahche (Planning),O,"Store (Key-value), Coordinator"
,,,TiKV (Planning),O,-
Tracer,-,Distributed tracing services,OpenTelemetry,O,
,,,OpenTracing,O,
Metric,-,Metrics services,Prometheus,,
,,,Graphite (Planning),,
Extend,-,User-defined services,-,-,-
